food_name,proteins_100g,carbohydrates_100g,fat_100g,energy_100g,category_name,origin,diet_type
Alaskan salmon,25.4,0.0,6.7,170.0,Fish,Animal,Omnivorous
Almonds,21.3,19.7,50.6,577.0,Nuts,Non-animal,Vegan
Amaranth,14.5,66.2,6.5,374.0,Grains,Non-animal,Vegan
Anchovies,29.0,0.0,9.7,210.0,Fish,Animal,Omnivorous
Asparagus,2.4,4.1,0.2,22.0,Vegetables,Non-animal,Vegan
Avocado,2.0,8.5,14.7,160.0,Fruits,Non-animal,Vegan
Barley,2.3,28.2,0.4,123.0,Grains,Non-animal,Vegan
Black beans (boiled),8.9,23.7,0.5,132.0,Beans,Non-animal,Vegan
Broccoli,2.4,7.2,0.4,35.0,Vegetables,Non-animal,Vegan
Camembert,19.8,0.5,24.3,300.0,Cheese,Animal,Vegetarian
Cashew nuts,18.2,30.2,43.9,552.0,Nuts,Non-animal,Vegan
Cheddar,25.0,1.3,33.1,403.0,Cheese,Animal,Vegetarian
Chia seeds,15.6,43.9,30.8,490.0,Seeds,Non-animal,Vegan
Chicken Breast,31.0,0.0,3.6,165.0,Meat,Animal,Omnivorous
Chickpeas (boiled),8.9,27.4,2.6,164.0,Legumes,Non-animal,Vegan
Clam,25.5,5.1,2.0,148.0,Shellfish & Mollusks,Animal,Omnivorous
Cod,22.8,0.0,0.9,105.0,Fish,Animal,Omnivorous
Cottage cheese,12.5,2.7,4.5,103.0,Cheese,Animal,Vegetarian
Cow Milk,3.3,4.7,2.0,50.0,Milk,Animal,Vegetarian
Crab,21.0,0.0,1.5,107.0,Shellfish & Mollusks,Animal,Omnivorous
Cuttlefish,32.5,1.6,1.4,158.0,Shellfish & Mollusks,Animal,Omnivorous
Duck breast,22.2,0.0,7.6,162.5,Meat,Animal,Omnivorous
Edam,25.0,1.4,27.8,357.0,Cheese,Animal,Vegetarian
Edamame,12.4,11.1,6.4,141.0,Legumes,Non-animal,Vegan
Eggs,12.6,0.7,9.5,143.0,Eggs,Animal,Vegetarian
Feta,14.2,4.1,21.3,264.0,Cheese,Animal,Vegetarian
Firm Tofu,8.4,1.7,4.2,70.0,Soy Products,Non-animal,Vegan
Goat Milk,3.6,4.4,4.0,69.0,Milk,Animal,Vegetarian
Greek yogurt,7.0,4.0,5.4,93.5,Yogurts,Animal,Vegetarian
Halibut,26.7,0.0,2.9,140.0,Fish,Animal,Omnivorous
Lamb,24.3,0.0,20.8,292.0,Meat,Animal,Omnivorous
Lean Beef,21.0,0.0,7.0,152.0,Meat,Animal,Omnivorous
Lean Pork Chops,29.0,0.0,13.1,240.0,Meat,Animal,Omnivorous
Lentils (boiled),9.0,20.1,0.4,116.0,Legumes,Non-animal,Vegan
Lobster,20.5,1.3,0.6,98.0,Shellfish & Mollusks,Animal,Omnivorous
Mackerel,23.2,0.0,15.8,242.0,Fish,Animal,Omnivorous
Mozzarella,22.2,2.2,22.4,300.0,Cheese,Animal,Vegetarian
Mussel,23.8,7.4,4.5,172.0,Shellfish & Mollusks,Animal,Omnivorous
Oats,14.6,67.4,6.4,382.0,Grains,Non-animal,Vegan
Octopus,29.8,4.4,2.1,164.0,Shellfish & Mollusks,Animal,Omnivorous
Parmesan,35.8,3.2,25.8,392.0,Cheese,Animal,Vegetarian
Peanut butter,25.1,19.6,50.4,588.0,Nuts,Non-animal,Vegan
Peanuts,27.2,16.2,49.4,573.0,Nuts,Non-animal,Vegan
Pistachios,20.6,28.0,44.4,556.0,Nuts,Non-animal,Vegan
Pumpkin & squash kernels (roasted),29.0,15.7,44.0,531.0,Seeds,Non-animal,Vegan
Quinoa (cooked),4.4,21.3,1.9,120.0,Grains,Non-animal,Vegan
Ricotta,11.5,3.0,13.0,174.0,Cheese,Animal,Vegetarian
Sardines,24.6,0.0,11.5,208.0,Fish,Animal,Omnivorous
Seitan,21.2,3.5,1.2,106.0,Vegan Meat Substitute,Non-animal,Vegan
Shrimp,20.3,0.9,1.7,106.0,Shellfish & Mollusks,Animal,Omnivorous
Soy Milk,4.5,5.0,2.0,52.0,Soy Products,Non-animal,Vegan
Spirulina (dried),57.5,24.0,7.7,290.0,Vegetables,Non-animal,Vegan
Squid,17.0,3.1,1.4,92.0,Shellfish & Mollusks,Animal,Omnivorous
Swiss cheese,27.0,5.4,27.8,380.0,Cheese,Animal,Vegetarian
Tempeh (cooked),18.2,9.4,11.4,196.0,Soy Products,Non-animal,Vegan
Tilapia,26.2,0.0,2.7,128.0,Fish,Animal,Omnivorous
Tuna (Yellowfin),24.5,0.0,1.0,108.0,Fish,Animal,Omnivorous
Turkey breast,29.0,0.0,0.7,135.0,Meat,Animal,Omnivorous
Walnuts,15.2,13.7,65.2,653.0,Nuts,Non-animal,Vegan
Wheat Germ,23.2,51.8,9.7,360.0,Grains,Non-animal,Vegan
