Ages,Gender,Height,Weight,Activity Level,Dietary Preference,BMI,Obesity Level,Goal
25,Male,180,80,Moderately Active,Omnivore,24.69,healthy weight,mainten_weight
32,Female,165,65,Lightly Active,Vegetarian,23.88,healthy weight,mainten_weight
48,Male,175,95,Sedentary,Vegan,31.02,obese,loss_weight
55,Female,160,70,Very Active,Omnivore,27.34,overweight,loss_weight
62,Male,170,85,Sedentary,Vegetarian,29.41,overweight,loss_weight
68,Female,155,60,Lightly Active,Vegan,24.97,healthy weight,mainten_weight
28,Male,190,100,Moderately Active,Omnivore,27.7,overweight,loss_weight
35,Female,170,75,Very Active,Vegetarian,25.95,overweight,loss_weight
42,Male,185,110,Moderately Active,Vegan,32.14,obese,loss_weight
58,Female,168,78,Sedentary,Vegan,27.64,overweight,loss_weight
25,Male,180,80,Lightly Active,Omnivore,24.69,healthy weight,mainten_weight
32,Female,165,65,Moderately Active,Vegan,23.88,healthy weight,mainten_weight
48,Male,175,95,Sedentary,Vegetarian,31.02,obese,loss_weight
55,Female,160,70,Moderately Active,Omnivore,27.34,overweight,loss_weight
62,Male,170,85,Very Active,Vegan,29.41,overweight,loss_weight
28,Female,172,60,Lightly Active,Vegan,20.28,healthy weight,mainten_weight
35,Male,185,90,Very Active,Omnivore,26.3,overweight,loss_weight
40,Female,168,75,Moderately Active,Vegetarian,26.57,overweight,loss_weight
22,Male,190,100,Lightly Active,Omnivore,27.7,overweight,loss_weight
58,Female,155,68,Sedentary,Vegan,28.3,overweight,loss_weight
24,Female,165,55,Lightly Active,Omnivore,20.2,healthy weight,mainten_weight
38,Male,180,80,Moderately Active,Omnivore,24.69,healthy weight,mainten_weight
55,Female,160,70,Sedentary,Vegetarian,27.34,overweight,loss_weight
62,Male,175,95,Moderately Active,Omnivore,31.02,obese,loss_weight
28,Female,170,65,Very Active,Vegan,22.49,healthy weight,mainten_weight
45,Male,185,100,Lightly Active,Omnivore,29.22,overweight,loss_weight
68,Female,155,60,Sedentary,Vegan,24.97,healthy weight,mainten_weight
32,Male,190,90,Very Active,Omnivore,24.93,healthy weight,mainten_weight
58,Male,170,85,Moderately Active,Vegetarian,29.41,overweight,loss_weight
22,Female,160,50,Lightly Active,Vegan,19.53,healthy weight,mainten_weight
25,Female,165,60,Lightly Active,Omnivore,22.04,healthy weight,mainten_weight
38,Male,180,85,Moderately Active,Vegetarian,26.23,overweight,loss_weight
55,Female,160,65,Sedentary,Vegan,25.39,overweight,loss_weight
42,Male,190,95,Very Active,Omnivore,26.32,overweight,loss_weight
62,Female,155,58,Sedentary,Vegan,24.14,healthy weight,mainten_weight
28,Male,175,70,Moderately Active,Omnivore,22.86,healthy weight,mainten_weight
31,Female,170,75,Lightly Active,Vegetarian,25.95,overweight,loss_weight
58,Male,185,90,Moderately Active,Omnivore,26.3,overweight,loss_weight
22,Female,168,55,Very Active,Vegan,19.49,healthy weight,mainten_weight
45,Male,182,80,Lightly Active,Omnivore,24.15,healthy weight,mainten_weight
25,Male,180,80,Moderately Active,Omnivore,24.69,healthy weight,mainten_weight
32,Female,165,65,Lightly Active,Vegetarian,23.88,healthy weight,mainten_weight
55,Male,175,90,Sedentary,Vegan,29.39,overweight,loss_weight
68,Female,160,75,Lightly Active,Omnivore,29.3,overweight,loss_weight
28,Male,185,95,Very Active,Omnivore,27.76,overweight,loss_weight
38,Female,170,70,Moderately Active,Vegan,24.22,healthy weight,mainten_weight
62,Male,170,85,Sedentary,Omnivore,29.41,overweight,loss_weight
45,Female,168,60,Very Active,Vegetarian,21.26,healthy weight,mainten_weight
22,Female,172,55,Moderately Active,Vegan,18.59,healthy weight,mainten_weight
58,Male,178,98,Sedentary,Omnivore,30.93,obese,loss_weight
25,Male,180,85,Lightly Active,Omnivore,26.23,overweight,loss_weight
32,Female,165,60,Moderately Active,Vegetarian,22.04,healthy weight,mainten_weight
48,Male,175,95,Very Active,Omnivore,31.02,obese,loss_weight
55,Female,160,70,Sedentary,Vegan,27.34,overweight,loss_weight
28,Male,185,90,Moderately Active,Vegan,26.3,overweight,loss_weight
62,Female,155,65,Lightly Active,Omnivore,27.06,overweight,loss_weight
35,Female,170,75,Very Active,Vegetarian,25.95,overweight,loss_weight
22,Male,190,80,Moderately Active,Vegan,22.16,healthy weight,mainten_weight
58,Male,178,100,Sedentary,Omnivore,31.56,obese,loss_weight
40,Female,168,72,Lightly Active,Vegetarian,25.51,overweight,loss_weight
25,Male,180,80,Moderately Active,Omnivore,24.69,healthy weight,mainten_weight
32,Female,165,60,Lightly Active,Vegetarian,22.04,healthy weight,mainten_weight
