user_id,age,gender,height,weight,activity_level,dietary_preference,BMI,obesity_level,goal,TDEE,daily_cals_goal,protein_g,carbs_g,fats_g
1,25,Male,180,80,Moderately Active,Omnivore,24.69,healthy weight,mainten_weight,2797.75,2797.75,209.83,279.78,93.26
2,32,Female,165,65,Lightly Active,Vegetarian,23.88,healthy weight,mainten_weight,1870.34,1870.34,140.28,187.03,62.34
3,48,Male,175,95,Sedentary,Vegan,31.02,obese,loss_weight,2170.5,1670.5,217.05,162.79,72.35
4,55,Female,160,70,Very Active,Omnivore,27.34,overweight,loss_weight,2180.4,1680.4,218.04,163.53,72.68
5,62,Male,170,85,Sedentary,Vegetarian,29.41,overweight,loss_weight,1929.0,1429.0,192.9,144.67,64.3
6,68,Female,155,60,Lightly Active,Vegan,24.97,healthy weight,mainten_weight,1468.16,1468.16,110.11,146.82,48.94
7,28,Male,190,100,Moderately Active,Omnivore,27.7,overweight,loss_weight,3181.38,2681.38,318.14,238.6,106.05
8,35,Female,170,75,Very Active,Vegetarian,25.95,overweight,loss_weight,2546.96,2046.96,254.7,191.02,84.9
9,42,Male,185,110,Moderately Active,Vegan,32.14,obese,loss_weight,3179.44,2679.44,317.94,238.46,105.98
10,58,Female,168,78,Sedentary,Vegan,27.64,overweight,loss_weight,1654.8,1154.8,165.48,124.11,55.16
11,25,Male,180,80,Lightly Active,Omnivore,24.69,healthy weight,mainten_weight,2481.88,2481.88,186.14,248.19,82.73
12,32,Female,165,65,Moderately Active,Vegan,23.88,healthy weight,mainten_weight,2108.39,2108.39,158.13,210.84,70.28
13,48,Male,175,95,Sedentary,Vegetarian,31.02,obese,loss_weight,2170.5,1670.5,217.05,162.79,72.35
14,55,Female,160,70,Moderately Active,Omnivore,27.34,overweight,loss_weight,1959.2,1459.2,195.92,146.94,65.31
15,62,Male,170,85,Very Active,Vegan,29.41,overweight,loss_weight,2772.94,2272.94,277.29,207.97,92.43
16,28,Female,172,60,Lightly Active,Vegan,20.28,healthy weight,mainten_weight,1889.25,1889.25,141.69,188.93,62.97
17,35,Male,185,90,Very Active,Omnivore,26.3,overweight,loss_weight,3253.78,2753.78,325.38,244.03,108.46
18,40,Female,168,75,Moderately Active,Vegetarian,26.57,overweight,loss_weight,2230.45,1730.4499999999998,223.04,167.28,74.35
19,22,Male,190,100,Lightly Active,Omnivore,27.7,overweight,loss_weight,2863.44,2363.44,286.34,214.76,95.45
20,58,Female,155,68,Sedentary,Vegan,28.3,overweight,loss_weight,1437.3,937.3,143.73,107.8,47.91
21,24,Female,165,55,Lightly Active,Omnivore,20.2,healthy weight,mainten_weight,1787.84,1787.84,134.09,178.78,59.59
22,38,Male,180,80,Moderately Active,Omnivore,24.69,healthy weight,mainten_weight,2697.0,2697.0,202.28,269.7,89.9
23,55,Female,160,70,Sedentary,Vegetarian,27.34,overweight,loss_weight,1516.8,1016.8,151.68,113.76,50.56
24,62,Male,175,95,Moderately Active,Omnivore,31.02,obese,loss_weight,2695.06,2195.06,269.51,202.13,89.84
25,28,Female,170,65,Very Active,Vegan,22.49,healthy weight,mainten_weight,2434.84,2434.84,182.61,243.48,81.16
26,45,Male,185,100,Lightly Active,Omnivore,29.22,overweight,loss_weight,2662.34,2162.34,266.23,199.68,88.74
27,68,Female,155,60,Sedentary,Vegan,24.97,healthy weight,mainten_weight,1281.3,1281.3,96.1,128.13,42.71
28,32,Male,190,90,Very Active,Omnivore,24.93,healthy weight,mainten_weight,3333.56,3333.56,250.02,333.36,111.12
29,58,Male,170,85,Moderately Active,Vegetarian,29.41,overweight,loss_weight,2522.62,2022.62,252.26,189.2,84.09
